#vertex distance parent
1444 17.2648 980
1445 24.5151 1299
1446 12.9783 1448
1447 16.159 1446
1448 10.6701 1815
1449 8.36234 523
1450 10.4459 783
1451 10.7673 1449
1452 -1 -1
1453 24.1392 570
1454 19.4271 1455
1455 16.3432 979
1456 19.9777 929
1457 22.3353 592
1458 21.0399 184
1459 24.2206 1458
1460 12.3333 639
1461 15.0381 1460
1462 15.2136 1460
1463 27.8578 499
1464 25.8119 2449
1465 35.7163 399
1466 25.6134 1467
1467 22.7331 2004
1468 28.3972 1466
1469 -1 -1
1470 -1 -1
1471 23.6647 570
1472 20.5298 61
1473 13.2395 2073
1474 18.2258 183
1475 23.0429 1108
1476 21.7209 159
1477 9.34952 1082
1478 24.7023 675
1479 24.9697 1480
1480 21.9647 768
1481 28.9566 372
1482 21.1737 100
1483 21.872 2523
1484 20.7072 1907
1485 23.0538 578
1486 8.55356 1136
