#vertex distance parent
1091 17.7738 618
1092 20.1527 1086
1093 -1 -1
1094 -1 -1
1095 17.122 7
1096 14.777 1097
1097 12.4229 758
1098 17.1311 1096
1099 -1 -1
1100 -1 -1
1101 -1 -1
1102 -1 -1
1103 -1 -1
1104 16.3849 622
1105 19.0897 1104
1106 19.6902 1104
1107 23.0429 1108
1108 20.7048 280
1109 22.6388 24
1110 14.7106 1112
1111 17.2903 1110
1112 12.6048 1004
1113 16.5529 1670
1114 17.2903 1110
1115 16.6929 1110
1116 21.9748 865
1117 17.8256 616
1118 14.7025 168
1119 16.9942 675
1120 16.2621 622
1121 13.0237 886
1122 15.3733 943
1123 18.1821 1124
1124 14.701 109
1125 19.2099 268
1126 13.7696 1127
1127 10.8893 51
1128 19.9878 911
1129 15.107 927
1130 17.8117 1129
1131 18.1118 1129
1132 18.1774 861
1133 18.9657 2296
1134 -1 -1
1135 -1 -1
1136 6.57095 3
1137 21.7073 974
1138 -1 -1
1139 18.7516 1140
1140 16.1135 126
1141 17.609 2276
1142 16.5791 293
1143 16.5791 293
1144 16.5791 293
1145 14.9522 1097
1146 16.5791 293
1147 16.5791 293
1148 16.5791 293
1149 16.2823 293
1150 16.5791 293
1151 16.5791 293
1152 12.6323 798
1153 16.5791 293
1154 16.2823 293
1155 16.5791 293
1156 16.5791 293
1157 16.5791 293
1158 16.5791 293
1159 -1 -1
1160 19.3867 600
1161 19.3867 600
1162 15.2196 1337
1163 -1 -1
1164 21.2136 1166
1165 21.2136 1166
1166 18.7509 1500
1167 22.6822 1169
1168 26.1633 1167
1169 19.6772 2119
1170 18.7365 268
1171 17.4945 194
1172 22.5181 142
1173 22.1554 663
1174 21.3699 146
1175 24.8509 1174
1176 24.871 117
1177 19.5927 449
1178 19.2926 449
1179 15.9505 842
1180 17.135 5
1181 17.9259 183
1182 15.2955 763
1183 22.0901 1184
1184 19.2099 970
1185 -1 -1
1186 18.273 444
1187 16.3687 1190
1188 19.3737 1187
1189 19.3737 1187
1190 13.5393 2073
1191 21.5937 977
1192 22.4665 1193
1193 19.1611 1113
1194 21.4462 380
1195 18.5921 1774
1196 21.921 380
1197 18.691 205
1198 22.1145 824
1199 31.7909 1200
1200 28.3098 10
1201 14.777 1097
1202 16.9661 184
1203 22.8495 122
1204 26.1549 1203
1205 20.2789 17
1206 19.705 979
1207 23.1861 1206
1208 -1 -1
1209 -1 -1
1210 14.1087 1081
1211 13.9333 1081
1212 14.4088 1081
1213 14.4088 1081
1214 24.6077 1021
1215 28.0888 1214
1216 21.2992 532
1217 27.5162 1218
1218 24.3356 959
1219 27.652 667
1220 27.8273 667
1221 -1 -1
1222 -1 -1
1223 30.8146 1224
1224 27.5092 1621
1225 20.5329 440
1226 18.3519 861
1227 23.0476 809
1228 26.2282 1227
1229 26.2282 1227
1230 -1 -1
1231 -1 -1
1232 -1 -1
1233 -1 -1
1234 -1 -1
1235 17.122 7
1236 21.7427 574
1237 21.3889 1166
1238 19.3683 302
1239 21.4435 574
1240 21.0952 574
1241 20.5126 260
1242 17.6773 444
1243 21.4491 1244
1244 18.5689 1801
1245 19.7623 534
1246 20.0622 534
1247 17.3561 604
1248 19.7623 534
1249 25.4477 1044
1250 -1 -1
1251 -1 -1
1252 -1 -1
1253 -1 -1
1254 -1 -1
1255 -1 -1
1256 18.1549 1257
1257 15.9832 1210
1258 18.1549 1257
1259 -1 -1
1260 -1 -1
1261 -1 -1
1262 16.2057 480
1263 18.8382 314
1264 18.8382 314
1265 18.5382 314
1266 23.6244 1240
1267 21.5645 936
1268 27.6372 1269
1269 24.3319 276
1270 18.5832 178
1271 21.8885 1270
1272 20.4996 1273
1273 17.4157 420
1274 14.8462 927
1275 15.8817 927
1276 12.7709 378
1277 18.273 444
1278 22.22 142
1279 25.7011 1278
1280 24.636 965
1281 28.117 1280
1282 23.9243 1240
1283 20.7482 222
1284 17.1965 1074
1285 18.8635 889
1286 16.8568 381
1287 -1 -1
1288 -1 -1
1289 17.122 7
1290 17.5998 407
1291 22.0139 247
1292 20.779 1133
1293 27.6372 1269
1294 -1 -1
1295 -1 -1
1296 -1 -1
1297 -1 -1
1298 21.2973 1055
1299 20.5094 588
1300 24.0021 1298
1301 19.1153 1500
1302 24.3021 1298
1303 18.273 444
1304 12.0872 1305
1305 9.00329 338
1306 13.617 1307
1307 10.7876 852
1308 22.5181 142
1309 23.1456 298
1310 -1 -1
1311 -1 -1
1312 12.8226 886
1313 16.7878 973
1314 17.6853 973
1315 17.6853 973
1316 15.7664 538
1317 13.3307 696
1318 24.6245 1319
1319 21.4439 892
1320 17.8354 194
1321 19.6183 1322
1322 17.3111 1507
1323 14.5569 1097
1324 16.5671 1323
1325 17.3406 1323
1326 17.3406 1323
1327 19.1931 302
1328 19.4831 683
1329 22.9642 1328
1330 -1 -1
1331 19.9723 1332
1332 17.268 1461
1333 17.122 7
1334 11.4039 849
1335 24.2753 563
1336 15.916 1337
1337 12.8321 190
1338 24.1346 1339
1339 21.1965 731
1340 18.8115 1149
1341 15.3548 1351
1342 20.6684 744
1343 21.2992 532
1344 22.6388 24
1345 16.1076 1121
1346 18.5832 178
1347 24.2753 563
1348 19.1455 61
1349 19.4994 487
1350 20.6326 1732
1351 13.1701 919
1352 15.2101 1351
1353 16.0502 1351
1354 17.1167 604
1355 20.0547 1354
1356 20.0547 1354
1357 19.4552 1354
1358 -1 -1
1359 15.3733 943
1360 17.5883 1274
1361 24.4681 1362
1362 21.2875 991
1363 23.1657 1364
1364 19.8604 332
1365 18.7895 751
1366 19.9236 1864
1367 21.3699 146
1368 24.5506 1367
1369 16.0565 126
1370 18.6368 1369
1371 17.5326 2408
1372 19.9369 1171
1373 19.9369 1171
1374 19.6381 1171
1375 19.4079 361
1376 22.8889 1375
1377 13.7696 1398
