Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     3000     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2999     0.00     0.00  std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > >::end()
  0.00      0.00     0.00     2986     0.00     0.00  bool __gnu_cxx::operator!=<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >(__gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > > const&, __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > > const&)
  0.00      0.00     0.00     2985     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, double> >::construct<std::tuple<int, int, double>, int&, int&, double&>(std::tuple<int, int, double>*, int&, int&, double&)
  0.00      0.00     0.00     2985     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >::operator++()
  0.00      0.00     0.00     2985     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.00     0.00     2985     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >::operator-(long) const
  0.00      0.00     0.00     2985     0.00     0.00  std::initializer_list<int>::end() const
  0.00      0.00     0.00     2985     0.00     0.00  std::initializer_list<int>::size() const
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<0ul, int&, false>::_M_head(std::_Head_base<0ul, int&, false>&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<0ul, int&, false>::_Head_base(int&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int&>(int&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<1ul, int&, false>::_M_head(std::_Head_base<1ul, int&, false>&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<1ul, int&, false>::_Head_base(int&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int&>(int&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<2ul, double&, false>::_M_head(std::_Head_base<2ul, double&, false>&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<2ul, double&, false>::_Head_base(double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<2ul, double, false>::_M_head(std::_Head_base<2ul, double, false> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Head_base<2ul, double, false>::_Head_base<double&>(double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int&, int&, double&>::_M_head(std::_Tuple_impl<0ul, int&, int&, double&>&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int&, int&, double&>::_M_tail(std::_Tuple_impl<0ul, int&, int&, double&>&)
  0.00      0.00     0.00     2985     0.00     0.00  void std::_Tuple_impl<0ul, int&, int&, double&>::_M_assign<int, int, double>(std::_Tuple_impl<0ul, int, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int&, int&, double&>::_Tuple_impl(int&, int&, double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int, int, double>::_M_head(std::_Tuple_impl<0ul, int, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int, int, double>::_M_tail(std::_Tuple_impl<0ul, int, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<0ul, int, int, double>::_Tuple_impl<int&, int&, double&, void>(int&, int&, double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int&, double&>::_M_head(std::_Tuple_impl<1ul, int&, double&>&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int&, double&>::_M_tail(std::_Tuple_impl<1ul, int&, double&>&)
  0.00      0.00     0.00     2985     0.00     0.00  void std::_Tuple_impl<1ul, int&, double&>::_M_assign<int, double>(std::_Tuple_impl<1ul, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int&, double&>::_Tuple_impl(int&, double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int, double>::_M_head(std::_Tuple_impl<1ul, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int, double>::_M_tail(std::_Tuple_impl<1ul, int, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<1ul, int, double>::_Tuple_impl<int&, double&, void>(int&, double&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<2ul, double&>::_M_head(std::_Tuple_impl<2ul, double&>&)
  0.00      0.00     0.00     2985     0.00     0.00  void std::_Tuple_impl<2ul, double&>::_M_assign<double>(std::_Tuple_impl<2ul, double> const&)
  0.00      0.00     0.00     2985     0.00     0.00  std::_Tuple_impl<2ul, double&>::_Tuple_impl(double&)
